op[0][5][3]=Max([0][10][3]:0.000000	[0][11][3]:0.000000	[1][10][3]:0.000000	[1][11][3]:0.000000)=0.000000
op[0][5][4]=Max([0][10][4]:0.000000	[0][11][4]:0.000000	[1][10][4]:0.000000	[1][11][4]:0.000000)=0.000000
op[0][5][5]=Max([0][10][5]:0.000000	[0][11][5]:0.000000	[1][10][5]:0.000000	[1][11][5]:0.000000)=0.000000
op[0][5][6]=Max([0][10][6]:0.068489	[0][11][6]:0.068489	[1][10][6]:0.068489	[1][11][6]:0.068489)=0.068489
op[0][5][7]=Max([0][10][7]:0.000000	[0][11][7]:0.000000	[1][10][7]:0.000000	[1][11][7]:0.000000)=0.000000
op[0][5][8]=Max([0][10][8]:0.000000	[0][11][8]:0.000000	[1][10][8]:0.000000	[1][11][8]:0.000000)=0.000000
op[0][5][9]=Max([0][10][9]:0.015651	[0][11][9]:0.015651	[1][10][9]:0.015651	[1][11][9]:0.015651)=0.015651
op[0][5][10]=Max([0][10][10]:0.000000	[0][11][10]:0.000000	[1][10][10]:0.000000	[1][11][10]:0.000000)=0.000000
op[0][5][11]=Max([0][10][11]:0.000000	[0][11][11]:0.000000	[1][10][11]:0.000000	[1][11][11]:0.000000)=0.000000
op[0][5][12]=Max([0][10][12]:0.000000	[0][11][12]:0.000000	[1][10][12]:0.000000	[1][11][12]:0.000000)=0.000000
op[0][5][13]=Max([0][10][13]:0.000000	[0][11][13]:0.000000	[1][10][13]:0.000000	[1][11][13]:0.000000)=0.000000
op[0][5][14]=Max([0][10][14]:0.000000	[0][11][14]:0.000000	[1][10][14]:0.000000	[1][11][14]:0.000000)=0.000000
op[0][5][15]=Max([0][10][15]:0.000000	[0][11][15]:0.000000	[1][10][15]:0.000000	[1][11][15]:0.000000)=0.000000
op[0][5][16]=Max([0][10][16]:0.040415	[0][11][16]:0.040415	[1][10][16]:0.040415	[1][11][16]:0.040415)=0.040415
op[0][5][17]=Max([0][10][17]:0.000000	[0][11][17]:0.000000	[1][10][17]:0.000000	[1][11][17]:0.000000)=0.000000
op[0][5][18]=Max([0][10][18]:0.000000	[0][11][18]:0.000000	[1][10][18]:0.000000	[1][11][18]:0.000000)=0.000000
op[0][5][19]=Max([0][10][19]:0.001898	[0][11][19]:0.001898	[1][10][19]:0.001898	[1][11][19]:0.001898)=0.001898
